# preset_key: snapshot_20260603_184508
# label: Snapshot 20260603_184508
# description: Snapshot of current global widget config.
# generated_at: 2026-06-03T16:45:08Z
widget_key,x,y,w,h,hide_while_driving,drive_mode,state_all,state_loading_map,state_warmup,state_pre_race,state_in_race,state_in_podium,state_post_race,group_key,group_member_enabled,group_priority,group_order,anim_dir,anim_duration_ms,anim_delay_ms,allow_personal,strip_prefer_top,widget_disabled
best_cps,-160,53,56,22,false,fixed,true,false,false,false,false,false,false,,false,0,0,left,250,0,true,false,false
checkpoint_counter,14,90,22,8,false,fixed,true,false,false,false,false,false,false,,false,0,0,right,250,0,true,false,true
clock,-12,90,25,8,false,fixed,true,false,false,false,false,false,false,,false,0,0,up,1000,0,true,false,false
cp_ghost_strip,98,14,62,9,false,fixed,true,false,false,false,false,false,false,,false,0,0,right,250,0,true,false,true
hub_launcher,153,-83,6,6,false,fixed,true,false,false,false,false,false,false,,false,0,0,none,200,0,true,false,false
karma_widget,114,72,46,11,true,hide_while_driving,true,false,false,false,false,false,false,,false,0,0,right,1000,50,true,false,false
live_rankings,98,60,62,22,false,fixed,true,false,false,false,false,false,false,,false,0,0,right,250,0,true,false,false
local_rankings,98,37,62,22,false,fixed,true,false,false,false,false,false,false,,false,0,0,right,250,0,true,false,false
map_info,110,85,50,12,false,fixed,true,false,false,false,false,false,false,,false,0,0,right,250,0,true,false,true
queue_status,-160,60,42,11,false,fixed,true,false,false,false,false,false,false,,false,0,0,left,250,0,true,false,true
random_mx_points,-160,21,58,22,false,fixed,true,false,false,false,false,false,false,,false,0,0,none,0,0,true,false,true
sector_diff,-160,72,40,12,false,fixed,true,false,false,false,false,false,false,,false,0,0,down,250,0,true,false,true
server_info,-160,85,58,12,true,hide_while_driving,true,false,false,false,false,false,false,,false,0,0,left,1000,0,true,false,false
status,80,85,80,50,false,fixed,true,false,false,false,false,false,false,,false,0,0,right,300,0,true,false,false
